"Date","City","Type","Observations"
"2018-09-30","Canterbury Region","Orders",""
"2018-09-30","Canterbury Region","Total",""
"2018-09-30","East Coast Region","Sentences",""
"2018-09-30","East Coast Region","Orders",""
"2018-09-30","East Coast Region","Total",""
"2018-09-30","Manukau Region","Sentences",""
"2018-09-30","Manukau Region","Orders",""
"2018-09-30","Manukau Region","Total",""
"2018-09-30","Nelson / Marlborough / West Coast Region","Sentences",""
"2018-09-30","Nelson / Marlborough / West Coast Region","Orders",""
"2018-09-30","Nelson / Marlborough / West Coast Region","Total",""
"2018-09-30","Northland Region","Sentences",""
"2018-09-30","Northland Region","Orders",""
"2018-09-30","Northland Region","Total",""
"2018-09-30","Otago / Southland Region","Sentences",""
"2018-09-30","Otago / Southland Region","Orders",""
"2018-09-30","Otago / Southland Region","Total",""
"2018-09-30","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2018-09-30","Taranaki / Whanganui / Manawatu Region","Orders",""
"2018-09-30","Taranaki / Whanganui / Manawatu Region","Total",""
"2018-09-30","Waikato Region","Sentences",""
"2018-09-30","Waikato Region","Orders",""
"2018-09-30","Waikato Region","Total",""
"2018-09-30","Wellington Region","Sentences",""
"2018-09-30","Wellington Region","Orders",""
"2018-09-30","Wellington Region","Total",""
"2018-12-31","Auckland","Sentences","2082"
"2018-12-31","Auckland","Orders","687"
"2018-12-31","Auckland","Total","2769"
"2018-12-31","Bay of Plenty","Sentences","1703"
"2018-12-31","Bay of Plenty","Orders","431"
"2018-12-31","Bay of Plenty","Total","2134"
"2018-12-31","Canterbury","Sentences","2564"
"2018-12-31","Canterbury","Orders","816"
"2018-12-31","Canterbury","Total","3380"
"2018-12-31","East Coast","Sentences","2092"
"2018-12-31","East Coast","Orders","559"
"2018-12-31","East Coast","Total","2651"
"2018-12-31","Manukau","Sentences","3680"
"2018-12-31","Manukau","Orders","1059"
"2018-12-31","Manukau","Total","4739"
"2018-12-31","Nelson/ West Coast","Sentences","1096"
"2018-12-31","Nelson/ West Coast","Orders","181"
"2018-12-31","Nelson/ West Coast","Total","1277"
"2018-12-31","Otago","Sentences","1133"
"2018-12-31","Otago","Orders","330"
"2018-12-31","Otago","Total","1463"
"2018-12-31","Otago and South/ Mid Canterbury","Sentences",""
"2018-12-31","Otago and South/ Mid Canterbury","Orders",""
"2018-12-31","Otago and South/ Mid Canterbury","Total",""
"2018-12-31","Southland/ Central Otago","Sentences","715"
"2018-12-31","Southland/ Central Otago","Orders","192"
"2018-12-31","Southland/ Central Otago","Total","907"
"2018-12-31","Southland and Central/ South Otago","Sentences",""
"2018-12-31","Southland and Central/ South Otago","Orders",""
"2018-12-31","Southland and Central/ South Otago","Total",""
"2018-12-31","Taitokerau","Sentences","1479"
"2018-12-31","Taitokerau","Orders","528"
"2018-12-31","Taitokerau","Total","2007"
"2018-12-31","Taupo/ Rotorua","Sentences","1418"
"2018-12-31","Taupo/ Rotorua","Orders","464"
"2018-12-31","Taupo/ Rotorua","Total","1882"
"2018-12-31","Waikato","Sentences","2945"
"2018-12-31","Waikato","Orders","857"
"2018-12-31","Waikato","Total","3802"
"2018-12-31","Wairarapa/ Manawatu","Sentences","1464"
"2018-12-31","Wairarapa/ Manawatu","Orders","432"
"2018-12-31","Wairarapa/ Manawatu","Total","1896"
