"Date","Offence type","Observations"
2024-03-31,"Acts Intended To Cause Injury",20.4
2024-03-31,"Dangerous Or Negligent Acts",2.3
2024-03-31,"Fraud, Deception",3.2
2024-03-31,"Homicide",1.9
2024-03-31,"Illicit Drug Offences",6.2
2024-03-31,"Miscellaneous Offences",1.3
2024-03-31,"Offences Against Justice",11
2024-03-31,"Prohibited And Regulated Weapons",2.9
2024-03-31,"Property Damage",1.6
2024-03-31,"Public Order",1.3
2024-03-31,"Robbery, Extortion",1.6
2024-03-31,"Sexual Assault",4.1
2024-03-31,"Theft",9.2
2024-03-31,"Traffic",23.8
2024-03-31,"Unlawful Entry With Intent/Burglary",6.1
2024-03-31,"Unknown",0
2024-03-31,"Breaches",0
2024-03-31,"Dishonesty",0
2024-03-31,"Drugs",0
2024-03-31,"Other",0
2024-03-31,"Violence",0
2024-03-31,"Weapons",0
